"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.01.2018","558,89","561,33","561,33","557,83","103,32M","-0,28%"
"10.01.2018","560,44","562,17","563,30","559,16","113,49M","-0,46%"
"09.01.2018","563,04","562,24","563,31","561,24","108,09M","0,38%"
"08.01.2018","560,89","559,82","561,32","559,53","68,96M","0,49%"
"05.01.2018","558,16","554,59","558,16","554,17","79,15M","0,74%"
"04.01.2018","554,06","551,37","555,00","550,91","97,55M","0,86%"
"03.01.2018","549,34","546,46","551,02","546,10","96,58M","0,84%"
"02.01.2018","544,79","545,24","545,38","540,34","66,57M","0,04%"
"29.12.2017","544,58","546,20","547,72","544,04","46,94M","-0,45%"
"28.12.2017","547,06","548,35","548,94","546,47","41,09M","-0,28%"
"27.12.2017","548,60","548,51","549,86","546,44","43,13M","0,02%"
"22.12.2017","548,48","548,33","549,18","546,89","46,67M","-0,17%"
"21.12.2017","549,39","546,27","549,72","544,08","72,73M","0,37%"
"20.12.2017","547,38","552,21","552,26","545,19","75,90M","-0,84%"
"19.12.2017","552,03","553,84","555,12","551,91","68,93M","-0,23%"
"18.12.2017","553,29","551,57","553,65","551,15","81,76M","0,84%"
"15.12.2017","548,67","546,61","548,67","545,65","144,95M","0,22%"
"14.12.2017","547,47","550,16","550,60","547,47","88,65M","-0,56%"
"13.12.2017","550,56","551,65","552,85","550,56","100,19M","-0,42%"
"12.12.2017","552,87","550,09","552,87","548,96","116,44M","0,81%"
"11.12.2017","548,41","548,81","548,92","547,20","93,22M","0,22%"
"08.12.2017","547,22","547,30","548,90","546,36","112,56M","0,50%"
"07.12.2017","544,51","543,65","544,67","542,08","116,56M","0,32%"
"06.12.2017","542,77","539,15","543,75","538,30","86,97M","-0,06%"
"05.12.2017","543,08","542,51","543,88","540,19","94,20M","0,28%"
"04.12.2017","541,54","541,99","543,55","539,82","97,75M","1,11%"
"01.12.2017","535,57","540,95","541,40","535,29","108,77M","-0,84%"
"30.11.2017","540,11","541,11","545,02","540,11","150,61M","-0,24%"
"29.11.2017","541,42","546,13","546,60","540,18","96,37M","-0,40%"
"28.11.2017","543,59","539,40","544,98","539,04","90,84M","1,02%"
"27.11.2017","538,09","539,84","542,95","538,05","75,84M","-0,47%"
"24.11.2017","540,63","541,61","543,53","540,63","65,67M","-0,13%"
"23.11.2017","541,35","538,60","542,39","537,76","62,85M","0,25%"
"22.11.2017","540,02","542,16","544,43","540,02","92,79M","-0,33%"
"21.11.2017","541,82","539,50","543,20","538,75","97,30M","0,39%"
"20.11.2017","539,71","535,63","540,91","535,52","86,60M","0,58%"
"17.11.2017","536,62","539,72","539,87","534,62","111,01M","-0,48%"
"16.11.2017","539,19","540,03","540,49","538,18","84,83M","0,13%"
"15.11.2017","538,49","538,65","539,66","535,44","122,29M","-0,60%"
"14.11.2017","541,73","545,94","546,60","540,06","112,26M","-0,68%"
"13.11.2017","545,43","548,35","548,77","543,10","88,79M","-0,35%"
"10.11.2017","547,32","549,66","551,10","547,23","105,77M","-0,55%"
"09.11.2017","550,37","554,56","555,61","550,00","141,12M","-0,79%"
"08.11.2017","554,77","555,18","555,89","553,64","108,84M","0,18%"
"07.11.2017","553,80","557,29","557,43","553,64","84,00M","-0,26%"
"06.11.2017","555,22","554,50","556,17","553,55","89,85M","0,01%"
"03.11.2017","555,15","554,96","555,47","553,32","100,30M","0,24%"
"02.11.2017","553,83","554,52","555,47","551,14","91,95M","-0,12%"
"01.11.2017","554,49","555,71","557,35","554,49","89,59M","0,20%"
"31.10.2017","553,38","550,36","553,92","550,14","74,25M","0,71%"
"30.10.2017","549,46","549,16","550,06","548,50","71,81M","0,00%"
"27.10.2017","549,44","549,32","551,29","548,04","99,34M","0,32%"
